_id,classNumber,className,major,prerequisites[0],prerequisites[1],prerequisites[2],isMajorElective,corequisites[0],corequisites[1]
672434701abc62f1ce8713d2,CS1337,Computer Science I,CS,CS1436,,,FALSE,,
672434701abc62f1ce8713fc,CS4393,Computer and Network Security,CS,CS4348,,,TRUE,,
672434701abc62f1ce8713e4,CS3377,C CPP Programmming in a UNIX Envirn,CS,CS2336,,,FALSE,,
672434701abc62f1ce8713d5,CS2337,Computer Science II,CS,,,,FALSE,,
672434701abc62f1ce8713d9,MATH2414,Integral Calculus or Calculus II,MATH,MATH2413,,,FALSE,,
672434701abc62f1ce8713e0,CS3162,Professional Responsibility in CS/SE,CS,,,,FALSE,CS3354,CS3345
672434701abc62f1ce8713d4,CS2336,Computer Science I,CS,CS1337,,,FALSE,CS2305,
672434701abc62f1ce8713d6,CS2340,Computer Architercture,CS,CS1337,CS2305,,FALSE,,
672434701abc62f1ce8713d7,MATH2413,Differenttial Caculus or Calculus I,MATH,,,,FALSE,,
672434701abc62f1ce8713df,PHYS2126,Physics Laboratory II,PHYS,PHYS2325,PHYS2125,MATH2414,FALSE,,
672434701abc62f1ce8713e7,CS4141,Digital Systems Laboratory,CS,,,,FALSE,,
672434701abc62f1ce8713ef,CS4315,Intelligent Systems Design,CS,CS4314,,,TRUE,,
672434701abc62f1ce8713f1,CS4336,Advanced Java,CS,CS2336,,,TRUE,,
672434701abc62f1ce8713f9,CS4390,Computer Networks,CS,CS3345,,,TRUE,,
672434701abc62f1ce871403,CS4459,Cyber Attack and Defense Laboratory,CS,CS2340,CS3345,CS3377,TRUE,,
672434701abc62f1ce871411,HIST 1302,US History Survey from Civil War,Core_Classes,,,,FALSE,,
672434701abc62f1ce8713e6,CS4341,Digital Logic and Computer Design,CS,PHYS2326,PHYS2126,CS2340,FALSE,,
672434701abc62f1ce8713d8,MATH2417,Differenttial Caculus or Calculus I,MATH,,,,FALSE,,
672434701abc62f1ce8713f8,CS4389,Data and Applications Security,CS,CS4347,,,TRUE,,
672434701abc62f1ce871414,BA 1310,Making Choices in Free Market Systems,Core_Classes,,,,FALSE,,
672434701abc62f1ce8713e1,CS3341,Probability & Statisctics in CS/SE,CS,MATH2414,CS2305,MATH2418,FALSE,,
672434701abc62f1ce8713ec,CS4485,Computer Science Project,CS,CS3345,CS3354,,FALSE,,
672434701abc62f1ce871412,GOVT 2305,American National Government,Core_Classes,,,,FALSE,,
672434701abc62f1ce871413,GOVT 2306,State and Local Government,Core_Classes,,,,FALSE,,
672434701abc62f1ce8713e9,CS4348,Operating Systems Concepts,CS,CS2340,CS3377,CS3345,FALSE,,
672434701abc62f1ce8713f0,CS4334,Numerical Analysis,CS,CS1337,MATH2418,,TRUE,,
672434701abc62f1ce8713f5,CS4375,Introduction to Machine Learning,CS,CS3341,CS3345,,TRUE,,
672434701abc62f1ce871405,SE4351,Requirements Engineering,SE,CS3354,,,TRUE,,
672434701abc62f1ce87140c,PHYS 2325,Mechanics,Core_Classes,,,,FALSE,,
672434701abc62f1ce87140d,PHYS 2326,Electromagnetism and Waves,Core_Classes,,,,FALSE,,
672434701abc62f1ce87140e,AMS 2300,American Popular Culture,Core_Classes,,,,FALSE,,
672434701abc62f1ce8713ee,CS4314,Intelligent Systems Analysis,CS,MATH2414,MATH2418,CS3341,TRUE,,
672434701abc62f1ce8713f7,CS4386,Compiler Design,CS,CS3345,,,TRUE,,
672434701abc62f1ce8713d1,CS1436,Program Fundamentals,CS,,,,FALSE,,
672434701abc62f1ce8713de,PHYS2326,Electromagnetism and Waves,PHYS,PHYS2325,PHYS2125,MATH2414,FALSE,,
672434701abc62f1ce8713cf,ECS1100,Intro to Engineering and CS,CS,,,,FALSE,,
672434701abc62f1ce8713d0,CS1200,Intro to CS and SE,CS,,,,FALSE,,
672434701abc62f1ce8713db,MATH2418,Linear Algebra,MATH,MATH2413,,,FALSE,,
672434701abc62f1ce8713da,MATH2419,Integral Calculus or Calculus II,MATH,MATH2413,,,FALSE,,
672434701abc62f1ce8713e8,CS4347,Database Systems,CS,CS3345,,,FALSE,,
672434701abc62f1ce8713fe,CS4395,Human Language Technologies,CS,CS3341,,,TRUE,,
672434701abc62f1ce871401,CS4398,Digital Forensics,CS,CS4348,CS4390,,TRUE,,
672434701abc62f1ce871410,HIST 1301,US History Survey to Civil War,Core_Classes,,,,FALSE,,
672434701abc62f1ce8713dd,PHYS2125,Physics Laboratory,PHYS,MATH2413,MATH2417,,FALSE,,
672434701abc62f1ce8713fb,CS4392,Computer Animation,CS,MATH2418,CS3345,,TRUE,,
672434701abc62f1ce8713ff,CS4396,Networking Laboratory,CS,CS4390,,,TRUE,,
672434701abc62f1ce871404,EE4325,Introduction to VLSI Design,EE,CS4341,,,TRUE,,
672434701abc62f1ce871409,RHET 1302,Rhetoric,Core_Classes,,,,FALSE,,
672434701abc62f1ce8713e3,CS3354,Software Engineering,CS,CS2336,CS2305,,FALSE,ECS2390,
672434701abc62f1ce8713dc,PHYS2325,Mechanics,PHYS,MATH2413,MATH2417,,FALSE,,
672434701abc62f1ce8713f2,CS4352,Human Computer Interaction,CS,,,,TRUE,,
672434701abc62f1ce87140b,MATH 2417,Calculus I,Core_Classes,,,,FALSE,,
672434701abc62f1ce8713d3,CS2305,Discrete Mathematics for Computing I,CS,MATH2413,,,FALSE,,
672434701abc62f1ce8713ea,CS4349,Adv Algorithm Design & Analysis,CS,CS2305,CS3345,,FALSE,,
672434701abc62f1ce8713eb,CS4384,Automata Theory,CS,CS2305,,,FALSE,,
672434701abc62f1ce8713ed,ECS2390,Professional Technical Communication,CS,,,,FALSE,,
672434701abc62f1ce8713f3,CS4361,Computer Graphics,CS,MATH2418,,,TRUE,,
672434701abc62f1ce8713f4,CS4365,Artificial Intelligence,CS,CS3345,,,TRUE,,
672434701abc62f1ce8713f6,CS4376,Object-Oriented Design,CS,CS2336,CS2337,CS3354,TRUE,,
672434701abc62f1ce87140f,AHST 1303,Survey of Western Art History Ancient to Medieval,Core_Classes,,,,FALSE,,
672434701abc62f1ce8713e5,CS4337,Organization of Programming Lang,CS,CS2336,CS2305,CS2340,FALSE,,
672434701abc62f1ce8713fa,CS4391,Introduction to Computer Vision,CS,CS3345,,,TRUE,,
672434701abc62f1ce8713fd,CS4394,Implementation of Modern Operating Systems,CS,CS4348,,,TRUE,,
672434701abc62f1ce871400,CS4397,Embedded Computer Systems,CS,CS4348,,,TRUE,,
672434701abc62f1ce871407,SE4367,Software Testing  Verification Validation and Quality Assurance,SE,CS3354,,,TRUE,,
672434701abc62f1ce871408,SE4381,Software Project Planning and Management,SE,CS3354,,,TRUE,,
672434701abc62f1ce8713e2,CS3345,Data Structures & Intro to Algorithmic Analysis,CS,CS2336,CS2337,CS2305,FALSE,,
672434701abc62f1ce871402,CS4399,Senior Honors in Computer Science,CS,,,,TRUE,,
672434701abc62f1ce871406,SE4352,Software Architecture and Design,SE,CS3354,,,TRUE,,
